"","lon","lat"
"1",148.792208822923,-35.5844818718238
"2",148.803115436506,-35.5844818718238
"3",148.814022050089,-35.5844818718238
"4",148.868555118003,-35.5844818718238
"5",148.792208822923,-35.5953884854066
"6",148.803115436506,-35.5953884854066
"7",148.814022050089,-35.5953884854066
"8",148.824928663671,-35.5953884854066
"9",148.835835277254,-35.5953884854066
"10",148.846741890837,-35.5953884854066
"11",148.85764850442,-35.5953884854066
"12",148.868555118003,-35.5953884854066
"13",148.770395595757,-35.6062950989893
"14",148.78130220934,-35.6062950989893
"15",148.792208822923,-35.6062950989893
"16",148.803115436506,-35.6062950989893
"17",148.814022050089,-35.6062950989893
"18",148.824928663671,-35.6062950989893
"19",148.835835277254,-35.6062950989893
"20",148.846741890837,-35.6062950989893
"21",148.85764850442,-35.6062950989893
"22",148.868555118003,-35.6062950989893
"23",148.78130220934,-35.6172017125721
"24",148.792208822923,-35.6172017125721
"25",148.803115436506,-35.6172017125721
"26",148.814022050089,-35.6172017125721
"27",148.824928663671,-35.6172017125721
"28",148.835835277254,-35.6172017125721
"29",148.846741890837,-35.6172017125721
"30",148.85764850442,-35.6172017125721
"31",148.868555118003,-35.6172017125721
"32",148.792208822923,-35.6281083261548
"33",148.803115436506,-35.6281083261548
"34",148.814022050089,-35.6281083261548
"35",148.824928663671,-35.6281083261548
"36",148.835835277254,-35.6281083261548
"37",148.846741890837,-35.6281083261548
"38",148.85764850442,-35.6281083261548
"39",148.868555118003,-35.6281083261548
"40",148.879461731586,-35.6281083261548
"41",148.78130220934,-35.6390149397375
"42",148.792208822923,-35.6390149397375
"43",148.803115436506,-35.6390149397375
"44",148.814022050089,-35.6390149397375
"45",148.824928663671,-35.6390149397375
"46",148.835835277254,-35.6390149397375
"47",148.846741890837,-35.6390149397375
"48",148.85764850442,-35.6390149397375
"49",148.868555118003,-35.6390149397375
"50",148.78130220934,-35.6499215533203
"51",148.792208822923,-35.6499215533203
"52",148.803115436506,-35.6499215533203
"53",148.814022050089,-35.6499215533203
"54",148.824928663671,-35.6499215533203
"55",148.835835277254,-35.6499215533203
"56",148.846741890837,-35.6499215533203
"57",148.85764850442,-35.6499215533203
"58",148.868555118003,-35.6499215533203
"59",148.792208822923,-35.660828166903
"60",148.803115436506,-35.660828166903
"61",148.814022050089,-35.660828166903
"62",148.824928663671,-35.660828166903
"63",148.835835277254,-35.660828166903
"64",148.846741890837,-35.660828166903
"65",148.85764850442,-35.660828166903
"66",148.868555118003,-35.660828166903
"67",148.879461731586,-35.660828166903
"68",148.803115436506,-35.6717347804857
"69",148.814022050089,-35.6717347804857
"70",148.824928663671,-35.6717347804857
"71",148.835835277254,-35.6717347804857
"72",148.846741890837,-35.6717347804857
"73",148.85764850442,-35.6717347804857
"74",148.868555118003,-35.6717347804857
"75",148.879461731586,-35.6717347804857
"76",148.803115436506,-35.6826413940685
"77",148.814022050089,-35.6826413940685
"78",148.824928663671,-35.6826413940685
"79",148.835835277254,-35.6826413940685
"80",148.846741890837,-35.6826413940685
"81",148.85764850442,-35.6826413940685
"82",148.868555118003,-35.6826413940685
"83",148.879461731586,-35.6826413940685
"84",148.890368345168,-35.6826413940685
"85",148.792208822923,-35.6935480076512
"86",148.803115436506,-35.6935480076512
"87",148.814022050089,-35.6935480076512
"88",148.824928663671,-35.6935480076512
"89",148.835835277254,-35.6935480076512
"90",148.846741890837,-35.6935480076512
"91",148.85764850442,-35.6935480076512
"92",148.868555118003,-35.6935480076512
"93",148.879461731586,-35.6935480076512
"94",148.890368345168,-35.6935480076512
"95",148.803115436506,-35.704454621234
"96",148.814022050089,-35.704454621234
"97",148.824928663671,-35.704454621234
"98",148.835835277254,-35.704454621234
"99",148.846741890837,-35.704454621234
"100",148.85764850442,-35.704454621234
"101",148.868555118003,-35.704454621234
"102",148.879461731586,-35.704454621234
"103",148.890368345168,-35.704454621234
"104",148.814022050089,-35.7153612348167
"105",148.824928663671,-35.7153612348167
"106",148.835835277254,-35.7153612348167
"107",148.846741890837,-35.7153612348167
"108",148.85764850442,-35.7153612348167
"109",148.868555118003,-35.7153612348167
"110",148.879461731586,-35.7153612348167
"111",148.890368345168,-35.7153612348167
"112",148.835835277254,-35.7262678483995
"113",148.846741890837,-35.7262678483995
"114",148.85764850442,-35.7262678483995
"115",148.868555118003,-35.7262678483995
"116",148.835835277254,-35.7371744619822
"117",148.846741890837,-35.7371744619822
"118",148.85764850442,-35.7371744619822
"119",148.85764850442,-35.7480810755649
"120",148.85764850442,-35.7589876891477
