"Dates","ET"
2004-04-30,3.44583333333333
2004-05-08,3.13875
2004-05-16,3.2175
2004-05-24,3.34583333333333
2004-06-01,3.11916666666667
2004-06-09,3.52458333333333
2004-06-17,3.50541666666667
2004-06-25,3.61041666666667
2004-07-03,3.75166666666667
2004-07-11,3.14458333333333
2004-07-19,3.08958333333333
2004-07-27,3.38583333333333
2004-08-04,4.83916666666667
2004-08-12,4.08708333333333
2004-08-20,3.02083333333333
2004-08-28,3.74416666666667
2004-09-05,6.2325
2004-09-13,4.83791666666667
2004-09-21,5.07708333333333
2004-09-29,5.57416666666667
2004-10-07,5.00625
2004-10-15,5.74458333333333
2004-10-23,6.46
2004-10-31,8.46083333333333
2004-11-08,7.88041666666667
2004-11-16,6.87041666666667
2004-11-24,6.5375
2004-12-02,10.4054166666667
2004-12-10,10.5320833333333
2004-12-18,9.95583333333333
2004-12-26,6.31916666666667
2005-01-01,8.99333333333333
2005-01-09,7.75041666666667
2005-01-17,11.2716666666667
2005-01-25,11.4166666666667
2005-02-02,10.61
2005-02-10,9.45958333333333
2005-02-18,9.76166666666667
2005-02-26,8.60875
2005-03-06,7.92458333333333
2005-03-14,7.15166666666667
2005-03-22,6.29041666666667
2005-03-30,5.90375
2005-04-07,5.55041666666667
2005-04-15,4.8
2005-04-23,4.40541666666667
2005-05-01,4.00541666666667
2005-05-09,3.38666666666667
2005-05-17,3.49375
2005-05-25,3.23416666666667
2005-06-02,3.12583333333333
2005-06-10,3.61125
2005-06-18,4.195
2005-06-26,3.58083333333333
2005-07-04,3.21875
2005-07-12,3.6725
2005-07-20,3.53291666666667
2005-07-28,3.42416666666667
2005-08-05,3.7375
2005-08-13,3.72416666666667
2005-08-21,3.47875
2005-08-29,4.73833333333333
2005-09-06,5.67875
2005-09-14,5.11083333333333
2005-09-22,6.51916666666667
2005-09-30,5.41833333333333
2005-10-08,7.15125
2005-10-16,7.47541666666667
2005-10-24,9.32208333333333
2005-11-01,8.70916666666667
2005-11-09,7.04916666666667
2005-11-17,8.31458333333333
2005-11-25,11.4466666666667
2005-12-03,9.1575
2005-12-11,9.1525
2005-12-19,9.59333333333333
2005-12-27,3.03833333333333
2006-01-01,9.74041666666667
2006-01-09,10.5979166666667
2006-01-17,11.0070833333333
2006-01-25,10.2004166666667
2006-02-02,9.31291666666667
2006-02-10,9.54416666666667
2006-02-18,9.48083333333333
2006-02-26,9.12125
2006-03-06,7.98916666666667
2006-03-14,7.93083333333333
2006-03-22,7.1675
2006-03-30,5.21125
2006-04-07,4.67125
2006-04-15,4.07833333333333
2006-04-23,4.21125
2006-05-01,4.265
2006-05-09,3.51125
2006-05-17,3.30625
2006-05-25,2.9025
2006-06-02,3.45583333333333
2006-06-10,2.86333333333333
2006-06-18,3.19708333333333
2006-06-26,2.91291666666667
2006-07-04,3.18583333333333
2006-07-12,3.04583333333333
2006-07-20,3.4225
2006-07-28,3.33125
2006-08-05,2.85791666666667
2006-08-13,3.14041666666667
2006-08-21,3.84708333333333
2006-08-29,4.43375
2006-09-06,5.05333333333333
